figure,experiment,theory_role
doublewell_fig01_target_cdf_nu.pdf,double-well,target and graph-channel setup
doublewell_theory_epsilon_chi2_sweep.pdf,double-well,"low-temperature form-gap, chi-square, Arrhenius, and graph-channel references"
one_d_target_relevant_drift_fields.pdf,1D shared,implemented corrected drift and target-relevant score scale
threewell_fig01_target_cdf_nu.pdf,triple-well,normalized target and shell-law setup
threewell_theory_graph_weighted_density.pdf,triple-well,"jump-support graph design, form-gap certificate, and weighted-L2 density convergence"
muller10d_fig00_muller10d_target_transform_jump_geometry.pdf,Muller-Brown 10D,latent CV geometry and lifted jump directions
muller10d_fig01_muller10d_latent_particles_occupancy.pdf,Muller-Brown 10D,target basin occupancy in latent coordinates
muller10d_fig02_muller10d_basin_communication.pdf,Muller-Brown 10D,basin communication in the transformed sampler
vector_gl_phase_geometry_gibbs_probabilities.pdf,phi4 GL,local phase geometry and single-site Gibbs probabilities
vector_gl_fig04a_coupled_phi4_graph_families.pdf,phi4 GL,phase graph families and graph support
vector_gl_theory_graph_phase_physical.pdf,phi4 GL,"graph connectivity, coherent phase communication, and physical field diagnostics"
